,,Report,Report,Report,Not used,Not used,Not used,Not used,Not used,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Questionnaire,Report,Report,Report,Report
Questions,,Documentation,,Landlord alert/reminder system,,Asking,Showing system,Showing system,Showing system,,"As there are so many things to handle the landlord needs an alert system, e.g. they will be fined if they don't act within 30 days.","Digital calendar, Property management software, Automated reminders","This evaluates the robustness of the system used to track and manage critical compliance deadlines, providing timely alerts for certificate renewals, inspection dates, and other time-sensitive obligations to avoid non-compliance and potential fines.",7.1,What system do you use to track critical compliance deadlines and certificate renewals?,Option 1 (scores 10) I use dedicated property management software with automated alerts. Option 2 (scores 5) I use a basic calendar or diary system. Option 3 (scores 1) I rely on memory and do not have a formal system.,Option 2 chosen,I use a paper diary but sometimes forget to check it,5,1.5,"Missing compliance deadlines can result in fines, prosecution, and inability to evict tenants.",No system in place. Landlord relies on memory for critical dates.,"Informal system used (e.g., phone calendar) but not always reliable.",Dedicated property management software or detailed spreadsheet with automated reminders.,Red: Immediately implement digital calendar or reminder system for all critical dates. Orange: Upgrade to more robust property management software. Green: Continue using excellent alert system.
Questions,,Documentation,,Tenant Information,,Asking,Visual sample,Visual sample,Visual (all checked),,"Credentials, contact details, next of kin, contract date etc.","Contact details, Next of kin, Right to Rent checks, GDPR compliance","This assesses the secure storage and management of tenants personal information in compliance with GDPR, including contact details, next of kin, copies of identification documents, and Right to Rent checks, ensuring confidentiality and legitimate use only.",8.1,How do you store tenant personal information and ensure GDPR compliance?,Option 1 (scores 10) I have secure digital storage with access controls and a GDPR privacy policy. Option 2 (scores 5) I store information securely but do not have a formal privacy policy. Option 3 (scores 1) I store information insecurely with no privacy protections.,Option 2 chosen,I keep files locked but have not written a privacy policy,5,1,GDPR compliance is legally required and data breaches can result in significant fines.,Tenant data stored insecurely. No privacy policy. No Right to Rent checks conducted.,Data stored more securely but no formal GDPR-compliant privacy policy.,All data stored securely with access controls. Clear privacy policy in place and shared with tenants.,Red: Immediately secure all tenant data and create GDPR-compliant privacy policy. Orange: Formalize data storage with clear access controls. Green: Continue maintaining high data security standards.
Questions,,Landlord-Tenant Communication,,Day-to-day Communication System ,,Asking,Showing system,Showing system,Showing system,,Is there a Whatsapp group?,"WhatsApp group, Email system, Property management app","This assesses the primary method for routine communication with tenants, whether through WhatsApp groups, email, or property management apps. The system should be accessible to all tenants, actively monitored, and used for general announcements and non-urgent queries.",9.1,What is your primary method for routine communication with tenants?,Option 1 (scores 10) I have a well-managed WhatsApp group or property management app with excellent response times. Option 2 (scores 5) I use WhatsApp or email but management is inconsistent. Option 3 (scores 1) I have no formal communication system.,Option 1 chosen,I have a WhatsApp group and respond within 24 hours,10,1,Good communication prevents issues escalating and demonstrates professional management.,No formal communication system. Communication is ad-hoc and inconsistent.,"System exists (e.g., WhatsApp group) but is poorly managed and not used consistently.","Dedicated, well-managed communication system with excellent response times.","Red: Establish formal, accessible communication channel for all tenants. Orange: Formalize existing system use and set clear response expectations. Green: Continue effective communication system management."
Questions,,Landlord-Tenant Communication,,Behaviour Reporting Procedure/System,,Asking,Showing system,Showing system,Showing system,,Includes Managing Sensitive Issues*,"Confidential reporting system, Mediation procedures, Fair investigation process","This assesses the sensitivity and appropriateness of procedures for handling delicate tenant issues, including how the landlord manages communication around housemate disputes, personal conflicts, and other sensitive matters while respecting tenant privacy and dignity.",10.1,How do you handle sensitive issues between tenants while respecting privacy?,Option 1 (scores 10) I have a clear documented procedure for sensitive issues with mediation options. Option 2 (scores 5) I handle issues case by case but have no formal procedure. Option 3 (scores 1) I have no procedure for handling sensitive tenant issues.,Option 2 chosen,I try to be fair but I do not have written procedures,5,1,Proper dispute resolution prevents issues escalating and protects against discrimination claims.,No procedure for sensitive issues. Landlord handles matters inconsistently or inappropriately.,Informal procedure exists but not documented. Limited consideration for tenant sensitivity.,"Clear, documented procedure for sensitive issues with mediation options and privacy protection.",Red: Create formal procedure for handling sensitive tenant issues with privacy protection. Orange: Document existing procedures and improve sensitivity training. Green: Continue excellent sensitive issue management.
Questions,,Landlord-Tenant Communication,,Behaviour Reporting Procedure/System,,Asking,Showing system,Showing system,Showing system,,Does the landlord encourage tenants to record problems at the time they are happening,"Real-time reporting system, Evidence collection, Incident logging","This evaluates whether the landlord encourages and facilitates tenants to report and record problems as they occur, including providing systems for photographic evidence, timestamps, and detailed incident descriptions for effective problem resolution.",10.2,Do you encourage tenants to record problems when they happen with evidence?,"Option 1 (scores 10) Yes, I have a comprehensive system for real-time reporting with evidence collection. Option 2 (scores 5) I encourage reporting but the system for evidence is limited. Option 3 (scores 1) No, I do not encourage real-time problem recording.",Option 2 chosen,Tenants can text me but I do not have a formal evidence system,5,1,Real-time reporting with evidence helps resolve issues quickly and provides protection in disputes.,No encouragement for real-time reporting. No system for evidence collection.,Basic encouragement but limited system for recording problems with evidence.,Comprehensive system encouraging real-time reporting with evidence collection capabilities.,Red: Implement system encouraging immediate problem reporting with evidence collection. Orange: Enhance existing reporting system with better evidence capabilities. Green: Continue excellent real-time reporting system.
Questions,,Landlord-Tenant Communication,,Cleanliness,,Asking,Showing email/notice etc,Showing email/notice etc,Showing email/notice etc,,How the landlord communicates cleanliness expectations and standards,"Cleaning standards guide, Visual examples, Regular communication","This evaluates how effectively the landlord communicates cleanliness expectations and standards for shared areas, including providing clear guidelines, visual examples, and regular reinforcement of cleaning requirements.",11.1,How do you communicate cleanliness expectations and standards to tenants?,Option 1 (scores 10) I have clear documented standards with visual examples and regular communication. Option 2 (scores 5) I communicate expectations but they are not well documented. Option 3 (scores 1) I have no clear communication of cleanliness expectations.,Option 1 chosen,I have a cleaning guide with photos showing expected standards,10,1,Clear cleanliness standards prevent disputes and maintain property value.,No clear communication of cleanliness expectations. Standards are unclear.,Basic expectations communicated but not well-documented or consistently reinforced.,"Clear, documented cleanliness standards with visual examples and regular communication.",Red: Create and communicate clear cleanliness standards with visual guides. Orange: Improve documentation and consistency of cleanliness communication. Green: Continue excellent cleanliness standards communication.
Questions,,Landlord-Tenant Communication,,Product buying,,Asking,Showing email/notice etc,Showing email/notice etc,Showing email/notice etc,,E.g. Do the tenants or the landlord buy cleaning products,"Purchasing policy, Cost allocation, Quality standards","This covers the clear communication of policies regarding who purchases cleaning products, household supplies, and maintenance items, including cost allocation, quality standards, and procedures for requesting or reimbursing purchases.",12.1,Who is responsible for purchasing cleaning products and household supplies?,Option 1 (scores 10) I have a clear documented policy defining purchasing responsibilities. Option 2 (scores 5) There is a basic understanding but it is not formally documented. Option 3 (scores 1) There is no clear policy on purchasing responsibilities.,Option 2 chosen,Tenants know they buy cleaning products but it is not written down,5,0.5,Clear purchasing policies prevent confusion and disputes over responsibilities.,No clear policy on product purchasing. Confusion about responsibilities.,Basic policy exists but not clearly communicated or consistently applied.,"Clear, documented purchasing policy with defined responsibilities and procedures.",Red: Create clear policy defining purchasing responsibilities and communicate to all tenants. Orange: Improve clarity and consistency of existing purchasing policy. Green: Continue excellent purchasing policy management.
Questions,,Landlord-Tenant Communication,,Rotas,,Asking,Showing email/notice etc,Showing email/notice etc,Showing email/notice etc,,"E.g. cleaning rotas, Bin collections and bin policies","Cleaning schedules, Bin collection rotas, Maintenance schedules","This assesses the effectiveness of communication regarding various rotas including cleaning schedules, bin collection responsibilities, and maintenance access, ensuring all tenants understand their responsibilities and timing.",13.1,How do you manage cleaning rotas and bin collection schedules?,"Option 1 (scores 10) I have well-organized, clearly communicated rotas that are consistently followed. Option 2 (scores 5) I have rotas but they are not consistently followed or clearly communicated. Option 3 (scores 1) I have no formal rotas in place.",Option 2 chosen,I have rotas on the fridge but tenants do not always follow them,5,1,Effective rotas ensure shared responsibilities are met and prevent disputes.,No formal rotas in place. Responsibilities are unclear.,Basic rotas exist but are not consistently followed or clearly communicated.,"Well-organized, clearly communicated rotas that are consistently followed.",Red: Implement clear rotas for cleaning and bin collection with tenant agreement. Orange: Improve communication and compliance with existing rotas. Green: Continue excellent rota management.
Questions,,Evidence Gathering Systems and Procedures,,Room inspections log,,Asking,Show copy of inventory,Show copy of inventory,Show copy of inventory,History of previous inspections and resulting actions,How do you log inspections?,"Inspection schedule, Detailed reports, Photographic evidence","This evaluates the system for conducting and recording regular inspections of individual tenant rooms, including proper notice, detailed findings documentation, photographic evidence, and follow-up action tracking.",14.1,How often do you inspect individual tenant rooms and what records do you keep?,Option 1 (scores 10) I conduct regular scheduled inspections with detailed logs and photographic evidence. Option 2 (scores 5) I inspect sporadically with basic logging. Option 3 (scores 1) I do not conduct regular room inspections.,Option 2 chosen,I inspect when there are problems but do not keep detailed records,5,1,Regular inspections identify problems early and provide evidence for deposit deductions.,No regular room inspections conducted. No inspection logs maintained.,Inspections conducted sporadically with basic logging and limited documentation.,"Regular scheduled inspections with detailed logs, photographic evidence, and follow-up tracking.",Red: Implement regular room inspection schedule with proper logging system. Orange: Formalize inspection procedures with better documentation. Green: Continue excellent room inspection management.
Questions,,Evidence Gathering Systems and Procedures,,Room Inventory,,Asking,Show copy of inventory,Show copy of inventory,Show copy of inventory,,,"Check-in reports, Check-out reports, Photographic evidence, Tenant signatures","This covers the comprehensive documentation of room condition and contents at the start and end of tenancies, including detailed inventory reports with photographic evidence, tenant agreement, and proper storage for dispute resolution.",15.1,Do you create detailed inventory reports at check-in and check-out with photographic evidence?,"Option 1 (scores 10) Yes, I create detailed professional inventory reports with extensive photographic evidence. Option 2 (scores 5) I create basic inventories but they lack detail or photographic evidence. Option 3 (scores 1) I do not create inventory reports.",Option 1 chosen,I use a professional inventory service with detailed photos,10,1.5,Detailed inventories are essential for fair deposit deductions and dispute resolution.,No inventory reports created. Common disputes over room condition and deposits.,Basic inventories created but lack detail and photographic evidence.,Detailed professional inventory reports with extensive photographic evidence and tenant signatures.,Red: Immediately implement detailed inventory system with photographic evidence. Orange: Enhance existing inventories with more detail and better evidence. Green: Continue excellent inventory management.
Questions,,Evidence Gathering Systems and Procedures,,Tenant's property repair logging system,,Asking,Show copy of inventory,Show copy of inventory,Show copy of inventory,,"Tenants should be able to log issues, e.g. leaking gutter","Maintenance request system, Issue tracking, Response times","This evaluates the system for tenants to report maintenance issues, including ease of reporting, tracking capabilities, response time monitoring, and communication of progress to tenants.",16.1,How do tenants report maintenance issues and how do you track them?,Option 1 (scores 10) I have a comprehensive maintenance reporting system with full tracking from report to completion. Option 2 (scores 5) I have a basic system but tracking is limited. Option 3 (scores 1) I have no formal maintenance reporting system.,Option 2 chosen,Tenants can WhatsApp me but I do not always track completion,5,1,Proper maintenance tracking demonstrates compliance with repair obligations.,No formal system for maintenance reporting. Issues reported ad-hoc with no tracking.,Basic reporting system but limited tracking and inconsistent response times.,Comprehensive maintenance reporting system with full tracking and excellent response times.,Red: Implement formal maintenance reporting system with tracking capabilities. Orange: Enhance existing system with better tracking and communication. Green: Continue excellent maintenance reporting management.
Questions,,Evidence Gathering Systems and Procedures,,Property maintenance log,,Asking,Show copy of inventory,Show copy of inventory,Show copy of inventory,,Must include record of ongoing job progress to completion,"Job progress updates, Completion records, Cost tracking, Contractor details","This assesses the detailed tracking of maintenance work from initial report through to completion, including progress updates, contractor information, costs, and final completion verification.",16.2,Do you maintain detailed records of maintenance work from start to completion?,"Option 1 (scores 10) Yes, I have comprehensive tracking with progress updates, costs, and completion records. Option 2 (scores 5) I keep basic records but they are incomplete. Option 3 (scores 1) I do not track maintenance job progress.",Option 2 chosen,I keep receipts but do not track progress in detail,5,1,Detailed maintenance records provide evidence of property care and legal compliance.,No tracking of job progress. Maintenance managed in ad-hoc manner.,Basic progress tracking but incomplete records and limited detail.,Comprehensive tracking system with detailed progress updates and completion records.,Red: Implement comprehensive job tracking system from report to completion. Orange: Enhance existing tracking with more detailed progress monitoring. Green: Continue excellent maintenance progress tracking.
Questions,,Evidence Gathering Systems and Procedures,,Shared Spaces Inspection Log,,Asking,Show copy of inventory,Show copy of inventory,Show copy of inventory,,"Hygiene issues, dripping taps, leaking roof, damp,","Common area inspections, Hygiene monitoring, Maintenance issue identification","This covers regular inspection and documentation of shared spaces including kitchens, bathrooms, and living areas, monitoring hygiene standards, identifying maintenance needs, and tracking resolution of issues.",17.1,How often do you inspect shared spaces like kitchens and bathrooms?,Option 1 (scores 10) I conduct regular scheduled inspections with detailed logging and prompt issue resolution. Option 2 (scores 5) I inspect irregularly with basic logging. Option 3 (scores 1) I do not regularly inspect shared spaces.,Option 2 chosen,I check when I visit but do not have a formal schedule,5,1,Regular shared space inspections maintain hygiene standards and identify maintenance needs.,No regular shared space inspections. Issues only addressed when reported.,Irregular inspections with basic logging and limited follow-up.,Regular scheduled shared space inspections with detailed logging and prompt issue resolution.,Red: Implement regular shared space inspection schedule with detailed logging. Orange: Formalize inspection procedures with better documentation and follow-up. Green: Continue excellent shared space inspection management.
Questions,,Evidence Gathering Systems and Procedures,,External Property inspection log,,Asking,Show copy of inventory,Show copy of inventory,Show copy of inventory,,"Guttering sagging and may need to be replaced in future, pothole forming in path, safety of driveway, path, front door etc. patios, fencing, garden etc.","Exterior maintenance monitoring, Safety hazard identification, Preventive maintenance planning","This assesses regular inspection of property exterior including guttering, pathways, fencing, gardens, and other external areas, identifying safety hazards and planning preventive maintenance.",18.1,How often do you inspect the exterior of the property and grounds?,Option 1 (scores 10) I conduct regular scheduled external inspections with detailed logging and proactive maintenance planning. Option 2 (scores 5) I inspect irregularly with limited documentation. Option 3 (scores 1) I do not conduct regular external inspections.,Option 3 chosen,I only look at the outside when there are problems reported,1,1,External inspections prevent costly repairs and identify safety hazards early.,No external property inspections conducted. Exterior maintenance is reactive only.,Irregular external inspections with limited documentation and follow-up.,Regular scheduled external inspections with detailed logging and proactive maintenance planning.,Red: Implement regular external property inspection schedule with safety focus. Orange: Formalize external inspection procedures with better planning. Green: Continue excellent external property inspection management.
Questions,,Evidence Gathering Systems and Procedures,,Tenant Behaviour Log,,Asking,Show copy of inventory,Show copy of inventory,Show copy of inventory,,"Shows how they manage behaviour issues, disputes, noise, hygiene, cultural issues etc.","Incident recording, Dispute documentation, Resolution tracking, Confidentiality measures","This evaluates the confidential system for recording and managing tenant behavior issues, disputes, and conflicts, demonstrating fair and consistent approach while maintaining appropriate confidentiality.",19.1,How do you record and manage tenant behavior issues and complaints?,"Option 1 (scores 10) I maintain a detailed, confidential log with fair and consistent resolution procedures. Option 2 (scores 5) I keep basic records but lack detail and consistency. Option 3 (scores 1) I do not keep records of tenant behavior issues.",Option 2 chosen,I remember the main issues but do not write everything down,5,1,Proper behavior logging provides evidence for eviction proceedings and demonstrates fair treatment.,No logging of tenant behavior issues. Complaints handled inconsistently.,Basic logging but lacks detail and consistent approach to resolution.,"Detailed, confidential logging system with fair and consistent resolution procedures.",Red: Implement confidential tenant behavior logging system with fair procedures. Orange: Enhance existing logging with more detailed and consistent approach. Green: Continue excellent tenant behavior management.
Questions,,Evidence Gathering Systems and Procedures,,Fire and Accident Log & Safety Action List,,Asking,Show copy of inventory,Show copy of inventory,Show copy of inventory,,"Includes actions for future accident prevention, i.e fire blanket missing > replaced","Fire safety checks, Accident recording, Prevention measures, Equipment maintenance","This covers comprehensive logging of all fire safety checks, accident incidents, and preventive actions taken, including weekly alarm tests, equipment maintenance, and follow-up safety improvements.",20.1,Do you maintain logs of fire safety checks and any accidents that occur?,"Option 1 (scores 10) Yes, I maintain comprehensive logs with detailed prevention measures and follow-up actions. Option 2 (scores 5) I keep basic logs but they are not always updated consistently. Option 3 (scores 1) I do not keep fire safety or accident logs.",Option 2 chosen,I test alarms but do not always write it down,5,2,Fire safety logs are legally required and essential for insurance claims and safety management.,No fire safety or accident logging. No record of safety checks or incidents.,Basic logging but inconsistent recording and limited follow-up actions.,Comprehensive fire safety and accident logging with detailed prevention measures and follow-up.,Red: Implement comprehensive fire safety and accident logging system immediately. Orange: Enhance existing logging with better detail and follow-up procedures. Green: Continue excellent fire safety and accident management.
Questions,,Evidence Gathering Systems and Procedures,,Condensation Prevention Procedures,,Asking,Discussion,Discussion,Discussion,,Humidifiers? Issuing guidelines to tenants on preventative measures.,"Tenant guidance, Ventilation monitoring, Humidity control, Proactive measures","This evaluates proactive measures for managing condensation and damp, including comprehensive tenant guidance, monitoring of ventilation systems, humidity control measures, and documentation of prevention efforts.",21.1,What guidance do you provide to tenants about preventing condensation and damp?,Option 1 (scores 10) I provide comprehensive guidance and take proactive measures including humidity monitoring. Option 2 (scores 5) I provide basic guidance but take limited proactive measures. Option 3 (scores 1) I provide no guidance and blame tenants for condensation issues.,Option 2 chosen,I tell tenants to open windows but do not do much else,5,1,Proactive condensation management prevents health issues and expensive damp damage.,No guidance provided to tenants. Condensation issues ignored or blamed entirely on tenants.,Basic guidance provided but limited proactive approach to condensation management.,Comprehensive guidance and proactive condensation management with humidity monitoring and prevention measures.,Red: Provide comprehensive condensation prevention guidance and implement proactive management. Orange: Enhance existing guidance with more proactive monitoring. Green: Continue excellent condensation prevention management.
